model,elo_score,variance,rating_q975,rating_q025,num_battles,final_ranking,date
RWKV-4-Raven-14B,914.6154693125676,30.215044536443887,926.3765644085258,903.5570646373238,4444.0,105.0,2024-07-06
alpaca-13b,888.6557405806723,25.705915755144456,898.3167301062609,879.0104940678676,5471.0,108.0,2024-07-06
bard-jan-24-gemini-pro,1212.6521902309923,10.70186362066713,1219.3695223359641,1206.6238319864017,11256.0,12.0,2024-07-06
chatglm-6b,866.7048662374594,25.97397889462362,875.8887490759009,857.2339385664488,4473.0,111.0,2024-07-06
chatglm2-6b,910.7294523068974,46.2048602084277,920.6314071042686,895.893569137252,2366.0,105.0,2024-07-06
chatglm3-6b,946.9735553454707,21.547659999973508,956.1903643663294,938.1612801286399,4191.0,103.0,2024-07-06
claude-1,1166.0094448723094,8.342049856298352,1171.632951352273,1160.269444875772,18749.0,28.0,2024-07-06
claude-2.0,1150.1927731001883,9.588813587248213,1156.0135886064159,1144.7491018566363,11453.0,32.0,2024-07-06
claude-2.1,1137.2297743684803,3.050862349630714,1140.7592200393615,1134.1379500394867,33900.0,42.0,2024-07-06
claude-3-5-sonnet-20240620,1280.3741531550463,4.076215592025092,1284.8083600337304,1277.0930236828658,21850.0,2.0,2024-07-06
claude-3-haiku-20240307,1188.2824347839519,2.0153891228799052,1190.7026134310624,1185.0529350323707,93287.0,22.0,2024-07-06
claude-3-opus-20240229,1260.2241664771523,2.1228994767988114,1262.6941829941395,1257.319426638117,131358.0,5.0,2024-07-06
claude-3-sonnet-20240229,1209.307132154407,2.151845396256894,1212.2507932524356,1206.7749622006788,103193.0,14.0,2024-07-06
claude-instant-1,1129.8864854199137,7.094263554250487,1135.467934923333,1124.2004997876318,18223.0,42.0,2024-07-06
codellama-34b-instruct,1042.5460837788487,18.666520989636908,1050.3865936496095,1034.0880891177096,6907.0,80.0,2024-07-06
codellama-70b-instruct,1054.1335318019364,78.61850414326248,1071.843446523199,1038.9161618339701,1058.0,69.0,2024-07-06
command-r,1150.689373211525,3.180335564000585,1154.5029585005882,1147.4516864297832,50790.0,34.0,2024-07-06
command-r-plus,1194.1787652106736,2.9746473046706607,1197.315323516786,1191.42661536474,72135.0,21.0,2024-07-06
dbrx-instruct-preview,1105.2074751548612,3.1388510145111486,1108.9256223710954,1101.6255007980571,31790.0,53.0,2024-07-06
deepseek-coder-v2,1206.0923035902752,10.472809871974553,1211.8939826947244,1200.415844916145,10320.0,14.0,2024-07-06
deepseek-llm-67b-chat,1078.935154543678,16.87948077810878,1087.5244342174656,1071.2818258832076,4618.0,63.0,2024-07-06
dolly-v2-12b,807.4230427168965,36.638125899600276,819.0708441964852,797.191504792785,3275.0,114.0,2024-07-06
dolphin-2.2.1-mistral-7b,1058.55960503717,55.80628438557114,1071.9108240121545,1043.9854153044826,1615.0,69.0,2024-07-06
falcon-180b-chat,1031.3910327335825,91.07494817571458,1049.5251816039633,1014.8827990639528,1184.0,81.0,2024-07-06
fastchat-t5-3b,858.814241349474,27.33840442325652,868.9772191142906,848.1216767126057,3841.0,111.0,2024-07-06
gemini-1.5-flash-api-0514,1234.1213896452964,3.9129614200419076,1237.1130774901512,1230.3383548434383,41077.0,11.0,2024-07-06
gemini-1.5-pro-api-0409-preview,1261.1353991606934,3.009687783809213,1264.3412335430646,1257.6515143752085,53886.0,5.0,2024-07-06
gemini-1.5-pro-api-0514,1269.8993105363797,3.8459647167613866,1273.182766250997,1266.2653384122682,46704.0,3.0,2024-07-06
gemini-advanced-0514,1270.9156073316121,3.5271448795560807,1274.3893795002941,1267.1110362368631,41123.0,3.0,2024-07-06
gemini-pro,1115.8757426313982,14.340043307378396,1122.1324816054255,1108.439164916133,6265.0,47.0,2024-07-06
gemini-pro-dev-api,1133.2975105839878,7.048912481949084,1138.0941342672816,1128.151854954762,17810.0,42.0,2024-07-06
gemma-1.1-2b-it,1022.69828114022,10.67213488650465,1028.999902553255,1016.8974851552044,11024.0,90.0,2024-07-06
gemma-1.1-7b-it,1086.792630161015,4.849362162563563,1091.1425123342292,1081.1444904454784,24369.0,61.0,2024-07-06
gemma-2-27b-it,1222.168985705775,8.146864523804334,1227.0951283794775,1216.4159186329593,10927.0,12.0,2024-07-06
gemma-2-9b-it,1190.064479555651,8.103852371350444,1195.4968907486393,1185.2416704607306,11143.0,21.0,2024-07-06
gemma-2b-it,991.6940646463364,19.300427254108985,999.0025121358607,983.2462043807864,4651.0,98.0,2024-07-06
gemma-7b-it,1040.4144460840116,9.61666293551531,1046.0510871404247,1034.0094822773099,8713.0,81.0,2024-07-06
glm-4-0116,1186.751871970449,9.773464557478851,1191.7719431895637,1180.1948768873667,7245.0,21.0,2024-07-06
glm-4-0520,1210.277062703603,10.847340873316602,1215.4350100163197,1202.8760502186194,9749.0,14.0,2024-07-06
gpt-3.5-turbo-0125,1110.9127198311132,2.262241752874805,1113.4597397143216,1107.996024476424,60457.0,52.0,2024-07-06
gpt-3.5-turbo-0314,1113.9006659365923,26.606448718961893,1121.8425730583804,1104.6767772179187,5093.0,48.0,2024-07-06
gpt-3.5-turbo-0613,1123.8904277858428,4.054015812938982,1127.4894451652324,1119.785642036404,35247.0,44.0,2024-07-06
gpt-3.5-turbo-1106,1081.49611332836,7.704391440022396,1087.1729569899048,1076.743593517966,14965.0,63.0,2024-07-06
gpt-4-0125-preview,1251.9325371913706,2.6701082133174165,1254.6822825477782,1248.9845782235611,75737.0,8.0,2024-07-06
gpt-4-0314,1189.1779333797044,3.4475450768160973,1192.3320907030986,1185.5330823721458,52726.0,21.0,2024-07-06
gpt-4-0613,1166.9554365819204,2.6948040343140356,1169.5729414440807,1163.5636341440802,77324.0,28.0,2024-07-06
gpt-4-1106-preview,1258.5715558440784,2.68949196033496,1261.0972733260442,1254.5839764551677,81194.0,5.0,2024-07-06
gpt-4-turbo-2024-04-09,1261.432808295784,2.8674939907653423,1264.6223091292934,1258.3091245992389,69804.0,5.0,2024-07-06
gpt-4o-2024-05-13,1291.8396395016252,3.971671719472974,1295.3234118402377,1288.5033645009285,53888.0,1.0,2024-07-06
gpt4all-13b-snoozy,928.4852451370635,75.46589039779799,943.6693521589366,911.0633227467819,1585.0,104.0,2024-07-06
guanaco-33b,1034.9633876988942,31.661250221311363,1044.1425674627205,1023.405268700198,2666.0,81.0,2024-07-06
koala-13b,963.5280857012018,20.28001980904364,972.8498279846384,954.5995121990422,6276.0,103.0,2024-07-06
llama-13b,787.8388364341282,59.97582691585056,801.8737772716573,773.5647271894815,2265.0,114.0,2024-07-06
llama-2-13b-chat,1068.7111539893608,7.809681206975678,1074.1189768708607,1063.2977605427502,18244.0,69.0,2024-07-06
llama-2-70b-chat,1094.575159053719,3.5996557205404813,1098.0893097817316,1090.506028121104,37261.0,59.0,2024-07-06
llama-2-7b-chat,1042.9498755191034,6.759247328870073,1047.1944335640894,1037.9941421940716,13321.0,81.0,2024-07-06
llama-3-70b-instruct,1209.7006996361033,2.5588879547934815,1212.6340517619915,1206.9376432560377,141390.0,14.0,2024-07-06
llama-3-8b-instruct,1154.7836910845153,2.479675612047509,1158.233157318887,1151.6205885086256,93975.0,32.0,2024-07-06
llama2-70b-steerlm-chat,1076.7439621982908,22.423410283975716,1085.6115759530092,1068.0976716284774,3432.0,63.0,2024-07-06
mistral-7b-instruct,999.5099254147972,12.2243846210078,1005.8841006083927,992.5498047449379,8449.0,97.0,2024-07-06
mistral-7b-instruct-v0.2,1072.137980009541,6.49425601438782,1076.3770268958272,1066.838559955491,18904.0,69.0,2024-07-06
mistral-large-2402,1159.3284742609007,2.642695749103685,1162.1697750275882,1155.9972936175677,58630.0,30.0,2024-07-06
mistral-medium,1148.5770710551878,4.696519350464099,1152.95628452988,1145.0057164204122,33328.0,35.0,2024-07-06
mistral-next,1126.3373647830535,7.36766255472614,1130.8576542091596,1121.0146599447835,11716.0,43.0,2024-07-06
mixtral-8x22b-instruct-v0.1,1149.5129038205177,3.324634032360452,1152.6854073489678,1145.9347133655306,41323.0,35.0,2024-07-06
mixtral-8x7b-instruct-v0.1,1114.0,0.0,1114.0,1114.0,66730.0,51.0,2024-07-06
mpt-30b-chat,1040.3625302707924,42.17744042702958,1052.240062257667,1028.6234189873733,2445.0,78.0,2024-07-06
mpt-7b-chat,925.3274614894375,30.37625927639965,935.2467033376664,915.7505890960625,3599.0,105.0,2024-07-06
nemotron-4-340b-instruct,1211.6601350174028,5.778864041352582,1215.9861267242832,1206.478643290428,17877.0,14.0,2024-07-06
nous-hermes-2-mixtral-8x7b-dpo,1085.5312373308393,25.88453293652351,1095.6374279979593,1076.4081887645673,3599.0,60.0,2024-07-06
oasst-pythia-12b,885.213740039221,23.047219216963057,894.2978317895833,876.2057766809646,5885.0,109.0,2024-07-06
olmo-7b-instruct,1012.7015875203489,16.623612761468436,1020.0183088989427,1004.5765824032779,6131.0,94.0,2024-07-06
openchat-3.5,1070.1386733573781,11.157439082384078,1077.0582845236493,1064.8476013691504,7446.0,67.0,2024-07-06
openchat-3.5-0106,1090.4289342452748,8.669532304336558,1096.3575065368484,1083.9855121195278,12283.0,60.0,2024-07-06
openhermes-2.5-mistral-7b,1069.449274590098,15.39270359622345,1077.578671780368,1062.5675685482763,4788.0,67.0,2024-07-06
palm-2,997.4430732973417,14.078574142796052,1003.5282414145227,990.9404136644099,8149.0,98.0,2024-07-06
phi-3-medium-4k-instruct,1126.5688750429313,5.758485590086461,1130.5931053187992,1121.8626852899672,15553.0,43.0,2024-07-06
phi-3-mini-128k-instruct,1039.4804669923642,6.590014117344642,1044.1815915818595,1035.130992698376,20882.0,81.0,2024-07-06
phi-3-mini-4k-instruct,1070.6817084927577,5.079340229041313,1074.471198281951,1066.1182016104624,20209.0,69.0,2024-07-06
phi-3-mini-4k-instruct-june-2024,1062.3574069865094,36.914624538196655,1073.2499729539372,1050.4604584382805,2002.0,69.0,2024-07-06
phi-3-small-8k-instruct,1107.2540034175458,5.009792598355725,1111.730355802198,1103.0811301984131,16603.0,52.0,2024-07-06
pplx-70b-online,1076.0609711670768,13.29507990443575,1083.155486094963,1068.1995623725568,6442.0,64.0,2024-07-06
pplx-7b-online,1039.8437624601218,17.48936283970183,1048.0725200291872,1032.6957218623731,5876.0,81.0,2024-07-06
qwen-14b-chat,1036.307105260925,18.58221755278616,1042.571125296316,1027.2032359505865,4483.0,82.0,2024-07-06
qwen-max-0428,1187.167717734677,5.882710763299444,1192.2125585378658,1182.7565080586833,24435.0,21.0,2024-07-06
qwen1.5-110b-chat,1165.0288366089044,3.2787985264972628,1168.3998686939901,1161.5340729195625,26185.0,28.0,2024-07-06
qwen1.5-14b-chat,1111.2809417557828,7.465658131110307,1116.4499280602622,1106.4528264683531,17622.0,50.0,2024-07-06
qwen1.5-32b-chat,1128.3024106206103,4.862120794633575,1132.0097117856874,1123.6705827465012,21470.0,43.0,2024-07-06
qwen1.5-4b-chat,989.2850690167505,14.875305435818628,996.7828504174333,981.5982469419432,7215.0,98.0,2024-07-06
qwen1.5-72b-chat,1150.5192502642158,3.7382215903469147,1153.605118753986,1146.3800900903257,38282.0,35.0,2024-07-06
qwen1.5-7b-chat,1069.6448673831403,14.331466416856241,1076.2493679994077,1061.4850888748254,4624.0,69.0,2024-07-06
qwen2-72b-instruct,1192.5991410041806,4.534319863879561,1196.5471934676832,1188.8578859715954,25574.0,21.0,2024-07-06
reka-core-20240501,1204.5617176923483,3.559418264724041,1207.7024625710444,1200.3698366269919,54718.0,14.0,2024-07-06
reka-flash-21b-20240226,1150.9194685654024,3.795887160070376,1154.3013638401028,1147.3515936132592,24867.0,34.0,2024-07-06
reka-flash-21b-20240226-online,1158.060257104254,6.277826448303863,1162.7984718363132,1153.9041451850564,15415.0,30.0,2024-07-06
reka-flash-preview-20240611,1168.3637529240632,5.687994677423112,1172.8829124098208,1164.5598809331202,14519.0,28.0,2024-07-06
snowflake-arctic-instruct,1091.9182862931866,3.865539557846838,1095.7408255182736,1088.0503140838268,32972.0,60.0,2024-07-06
solar-10.7b-instruct-v1.0,1058.5255821021015,16.17085789867298,1066.3374275699166,1051.4777637587158,4059.0,73.0,2024-07-06
stablelm-tuned-alpha-7b,830.0810140119429,33.94311073279785,841.8146283382496,819.3797672014263,3011.0,113.0,2024-07-06
starling-lm-7b-alpha,1085.212210244626,8.225634478554474,1089.5321688644228,1079.5855569976256,9877.0,62.0,2024-07-06
starling-lm-7b-beta,1120.7525176300333,6.266689226902945,1125.5081388749024,1116.048155896426,16022.0,44.0,2024-07-06
stripedhyena-nous-7b,1016.284589300536,17.081624404799584,1022.5075697968647,1006.8940067928309,4961.0,93.0,2024-07-06
tulu-2-dpo-70b,1100.189310982391,14.183600039672857,1105.9399292143107,1093.415523280251,6076.0,56.0,2024-07-06
